ts,combustible,precio
2026-08-16T13:22Z,g95e5,1.775
2026-08-16T13:22Z,gA,1.935
2026-08-16T13:22Z,gP,1.996
2026-08-16T13:22Z,g98e5,1.936
2026-08-21T06:23Z,g95e5,1.795
2026-08-21T06:23Z,gA,1.989
2026-08-21T06:23Z,gP,2.059
2026-08-21T06:23Z,g98e5,1.959
2026-08-23T07:23Z,g95e5,1.785
2026-08-23T07:23Z,gA,1.979
2026-08-26T06:24Z,g95e5,1.808
2026-08-28T07:15Z,gP,2.089
2026-08-28T07:15Z,g98e5,2.056
2026-09-01T06:52Z,g95e5,1.850
2026-09-01T06:52Z,gA,1.818
2026-09-01T06:52Z,gP,1.938
2026-09-01T06:52Z,g98e5,2.139
