ts,combustible,precio
2026-08-17T22:11Z,g95e5,1.765
2026-08-17T22:11Z,gA,1.909
2026-08-17T22:11Z,gP,2.019
2026-08-17T22:11Z,gB,1.709
2026-08-18T22:09Z,g95e5,1.755
2026-08-18T22:09Z,gA,1.915
2026-08-18T22:09Z,gP,2.025
2026-08-18T22:09Z,gB,1.714
2026-08-19T22:12Z,g95e5,1.765
2026-08-19T22:12Z,gA,1.935
2026-08-19T22:12Z,gP,2.045
2026-08-19T22:12Z,gB,1.734
2026-08-20T22:14Z,gP,2.055
2026-08-20T22:14Z,gB,1.715
2026-08-21T22:10Z,gA,1.939
2026-08-21T22:10Z,gP,2.049
2026-08-24T22:13Z,g95e5,1.775
2026-08-24T22:13Z,gP,2.029
2026-08-24T22:13Z,gB,1.720
2026-08-25T22:13Z,g95e5,1.769
2026-08-27T02:19Z,gA,1.929
2026-08-27T02:19Z,gP,2.019
2026-08-27T02:19Z,gB,1.710
2026-08-27T23:17Z,gA,1.919
2026-08-27T23:17Z,gB,1.709
2026-08-29T02:30Z,g95e5,1.779
2026-08-29T02:30Z,gA,1.909
2026-08-29T02:30Z,gP,1.999
2026-08-29T02:30Z,gB,1.699
2026-08-31T22:05Z,g95e5,1.840
2026-08-31T22:05Z,gA,1.788
2026-08-31T22:05Z,gP,1.878
2026-09-01T22:52Z,g95e5,1.875
2026-09-01T22:52Z,gA,1.795
2026-09-01T22:52Z,gP,1.895
2026-09-02T23:38Z,g95e5,1.885
2026-09-02T23:38Z,gA,1.835
2026-09-02T23:38Z,gP,1.935
2026-09-02T23:38Z,gB,1.739
