ts,combustible,precio
2026-08-18T10:15Z,g95e5,1.758
2026-08-18T10:15Z,gA,1.948
2026-08-18T10:15Z,gP,1.968
2026-08-19T10:16Z,gA,1.968
2026-08-19T10:16Z,gP,1.998
2026-08-19T10:16Z,g98e5,1.898
2026-08-20T10:17Z,gA,1.988
2026-08-20T10:17Z,g98e5,1.918
2026-08-21T13:36Z,gA,1.978
2026-08-21T13:36Z,gP,2.054
2026-08-23T09:15Z,gA,1.968
2026-08-23T09:15Z,gP,2.034
2026-08-25T10:19Z,g95e5,1.768
2026-08-25T10:19Z,gA,1.978
2026-08-25T10:19Z,gP,2.058
2026-08-25T10:19Z,g98e5,1.938
2026-08-26T10:22Z,g95e5,1.778
2026-08-26T10:22Z,gA,1.988
2026-08-27T13:12Z,g95e5,1.768
2026-08-27T13:12Z,gA,1.978
2026-08-29T09:27Z,g95e5,1.774
2026-08-29T09:27Z,gA,1.968
2026-08-29T09:27Z,gP,2.034
2026-08-29T09:27Z,g98e5,1.928
2026-09-01T20:13Z,g95e5,1.834
2026-09-01T20:13Z,gA,1.878
2026-09-01T20:13Z,gP,1.908
2026-09-01T20:13Z,g98e5,1.988
2026-09-02T10:01Z,g95e5,1.854
2026-09-02T10:01Z,gA,1.848
2026-09-02T10:01Z,gP,1.898
2026-09-03T11:47Z,g95e5,1.888
2026-09-03T11:47Z,gA,1.878
2026-09-03T11:47Z,gP,1.928
2026-09-04T11:48Z,g95e5,1.898
2026-09-04T11:48Z,gA,1.888
2026-09-04T11:48Z,gP,1.958
2026-09-04T11:48Z,g98e5,2.034
