ts,combustible,precio
2026-08-17T13:30Z,g95e5,1.769
2026-08-17T13:30Z,gA,1.909
2026-08-17T13:30Z,gP,1.970
2026-08-17T13:30Z,g98e5,1.889
2026-08-17T13:30Z,gB,1.709
2026-08-24T14:30Z,g95e5,1.789
2026-08-24T14:30Z,gA,1.949
2026-08-24T14:30Z,gP,2.010
2026-08-24T14:30Z,g98e5,1.909
2026-08-29T14:44Z,g95e5,1.809
2026-08-29T14:44Z,gA,1.869
2026-08-29T14:44Z,gP,1.930
2026-08-29T14:44Z,g98e5,1.929
2026-08-29T14:44Z,gB,1.619
2026-09-01T12:09Z,g95e5,1.909
2026-09-01T12:09Z,gA,1.759
2026-09-01T12:09Z,gP,1.820
2026-09-01T12:09Z,g98e5,2.029
2026-09-01T12:09Z,gB,1.659
