ts,combustible,precio
2026-09-01T12:09Z,g95e5,1.359
2026-09-01T12:09Z,gA,1.459
2026-09-01T12:09Z,gP,1.559
2026-09-01T12:09Z,g98e5,1.459
2026-09-03T11:47Z,g95e5,1.377
2026-09-03T11:47Z,gA,1.477
2026-09-03T11:47Z,gP,1.577
2026-09-03T11:47Z,g98e5,1.477
2026-09-11T06:42Z,g95e5,1.397
2026-09-11T06:42Z,gA,1.499
2026-09-11T06:42Z,gP,1.599
2026-09-11T06:42Z,g98e5,1.497
2026-09-14T14:29Z,gA,1.529
2026-09-14T14:29Z,gP,1.629
2026-09-15T12:17Z,g95e5,1.417
2026-09-15T12:17Z,gA,1.559
2026-09-15T12:17Z,gP,1.659
2026-09-15T12:17Z,g98e5,1.517
2026-09-16T12:16Z,g95e5,1.447
2026-09-16T12:16Z,gA,1.589
2026-09-16T12:16Z,gP,1.689
2026-09-16T12:16Z,g98e5,1.547
2026-09-18T11:55Z,gA,1.599
2026-09-18T11:55Z,gP,1.699
2026-09-22T20:33Z,g95e5,1.437
2026-09-23T07:22Z,g95e5,1.299
