ts,combustible,precio
2026-08-17T20:12Z,g95e5,1.609
2026-08-17T20:12Z,gA,1.729
2026-08-18T14:20Z,gA,1.719
2026-08-18T20:10Z,g95e5,1.629
2026-08-18T20:10Z,gA,1.739
2026-08-19T08:21Z,g95e5,1.639
2026-08-19T08:21Z,gA,1.769
2026-08-20T14:23Z,g95e5,1.629
2026-08-20T14:23Z,gA,1.759
2026-08-23T21:10Z,g95e5,1.649
2026-08-23T21:10Z,gA,1.779
2026-08-25T15:32Z,g95e5,1.629
2026-08-25T15:32Z,gA,1.759
2026-08-26T08:27Z,g95e5,1.659
2026-08-26T08:27Z,gA,1.789
2026-08-26T09:28Z,g95e5,1.639
2026-08-26T14:32Z,g95e5,1.619
2026-08-26T14:32Z,gA,1.759
2026-08-29T14:44Z,g95e5,1.609
2026-08-29T14:44Z,gA,1.749
2026-09-01T01:28Z,g95e5,1.669
2026-09-01T01:28Z,gA,1.699
2026-09-01T12:09Z,gA,1.627
2026-09-02T21:23Z,gA,1.677
2026-09-03T15:19Z,gA,1.667
2026-09-03T21:29Z,g95e5,1.719
2026-09-03T21:29Z,gA,1.717
2026-09-04T15:14Z,g95e5,1.709
2026-09-04T15:14Z,gA,1.707
