ts,combustible,precio
2026-08-17T22:11Z,g95e5,1.789
2026-08-17T22:11Z,gA,1.929
2026-08-17T22:11Z,gB,1.719
2026-08-18T22:09Z,g95e5,1.799
2026-08-18T22:09Z,gA,1.925
2026-08-18T22:09Z,gB,1.724
2026-08-19T22:12Z,g95e5,1.809
2026-08-19T22:12Z,gA,1.945
2026-08-19T22:12Z,gB,1.744
2026-08-20T22:14Z,gA,1.949
2026-08-20T22:14Z,gB,1.739
2026-08-21T22:10Z,g95e5,1.799
2026-08-24T22:13Z,g95e5,1.795
2026-08-24T22:13Z,gA,1.955
2026-08-24T22:13Z,gB,1.744
2026-08-27T02:19Z,g95e5,1.779
2026-08-27T02:19Z,gA,1.939
2026-08-27T02:19Z,gB,1.734
2026-08-27T23:17Z,g95e5,1.799
2026-08-27T23:17Z,gA,1.929
2026-08-27T23:17Z,gB,1.719
2026-08-29T02:30Z,g95e5,1.779
2026-08-29T02:30Z,gB,1.709
2026-08-31T22:05Z,g95e5,1.840
2026-08-31T22:05Z,gA,1.808
2026-09-01T22:52Z,g95e5,1.859
2026-09-01T22:52Z,gA,1.819
2026-09-02T23:38Z,g95e5,1.879
2026-09-02T23:38Z,gA,1.865
2026-09-02T23:38Z,gB,1.749
2026-09-03T23:36Z,g95e5,1.889
2026-09-03T23:36Z,gA,1.875
2026-09-04T23:28Z,g95e5,1.899
2026-09-04T23:28Z,gA,1.899
2026-09-04T23:28Z,gB,1.759
2026-09-06T00:18Z,g95e5,1.905
2026-09-07T23:05Z,gA,1.879
2026-09-08T22:05Z,g95e5,1.915
2026-09-08T22:05Z,gA,1.889
2026-09-08T22:05Z,gB,1.769
2026-09-09T23:35Z,g95e5,1.929
2026-09-09T23:35Z,gA,1.909
2026-09-09T23:35Z,gB,1.774
2026-09-10T23:29Z,g95e5,1.925
2026-09-10T23:29Z,gB,1.755
2026-09-11T23:36Z,g95e5,1.949
2026-09-11T23:36Z,gA,1.939
2026-09-11T23:36Z,gB,1.795
2026-09-12T23:29Z,g95e5,1.965
2026-09-12T23:29Z,gA,1.965
2026-09-12T23:29Z,gB,1.815
2026-09-14T22:48Z,g95e5,1.975
2026-09-14T22:48Z,gA,1.969
2026-09-14T22:48Z,gB,1.825
2026-09-15T23:14Z,g95e5,1.985
2026-09-15T23:14Z,gA,1.975
2026-09-15T23:14Z,gB,1.835
2026-09-16T23:19Z,g95e5,1.989
2026-09-16T23:19Z,gA,1.995
2026-09-16T23:19Z,gB,1.865
2026-09-18T23:41Z,gA,1.999
2026-09-19T23:42Z,gA,2.009
2026-09-19T23:42Z,gB,1.875
2026-09-21T22:53Z,g95e5,1.995
2026-09-21T22:53Z,gA,2.005
2026-09-22T23:20Z,g95e5,1.989
2026-09-22T23:20Z,gA,1.999
2026-09-22T23:20Z,gB,1.865
2026-09-24T00:03Z,gA,2.015
2026-09-24T22:46Z,g95e5,1.985
2026-09-25T22:52Z,g95e5,1.999
2026-09-25T22:52Z,gA,2.019
