ts,combustible,precio
2026-08-17T08:28Z,g95e5,1.499
2026-08-17T09:27Z,g95e5,1.549
2026-08-17T20:12Z,g95e5,1.519
2026-08-17T20:12Z,gA,1.659
2026-08-18T20:10Z,g95e5,1.539
2026-08-18T20:10Z,gA,1.679
2026-08-20T20:15Z,g95e5,1.589
2026-08-20T20:15Z,gA,1.709
2026-08-21T07:33Z,g95e5,1.539
2026-08-21T07:33Z,gA,1.679
2026-08-23T21:10Z,g95e5,1.559
2026-08-23T21:10Z,gA,1.699
2026-08-25T20:14Z,g95e5,1.589
2026-08-25T20:14Z,gA,1.729
2026-08-28T19:40Z,g95e5,1.559
2026-08-28T19:40Z,gA,1.699
2026-09-01T01:28Z,g95e5,1.619
2026-09-01T01:28Z,gA,1.649
2026-09-02T14:46Z,g95e5,1.599
2026-09-02T21:23Z,gA,1.699
2026-09-03T21:29Z,g95e5,1.649
2026-09-03T21:29Z,gA,1.749
2026-09-04T15:14Z,gA,1.717
2026-09-04T18:37Z,g95e5,1.599
2026-09-04T18:37Z,gA,1.659
2026-09-04T21:06Z,g95e5,1.649
2026-09-04T21:06Z,gA,1.699
