ts,combustible,precio
2026-08-17T09:27Z,g95e5,1.759
2026-08-17T09:27Z,gA,1.845
2026-08-17T09:27Z,g98e5,1.935
2026-08-19T08:21Z,gA,1.899
2026-08-19T08:21Z,gP,2.045
2026-08-20T09:21Z,g95e5,1.775
2026-08-20T09:21Z,gA,1.909
2026-08-20T09:21Z,gP,2.069
2026-08-20T09:21Z,g98e5,1.965
2026-08-24T08:33Z,g95e5,1.789
2026-08-24T08:33Z,g98e5,1.979
2026-08-27T13:12Z,g95e5,1.779
2026-08-27T13:12Z,gA,1.899
2026-08-27T13:12Z,gP,2.079
2026-08-27T13:12Z,g98e5,1.969
2026-08-28T19:40Z,gA,1.889
2026-08-28T19:40Z,gP,2.069
2026-08-31T10:09Z,g95e5,1.845
2026-08-31T10:09Z,g98e5,2.009
2026-09-01T12:09Z,g95e5,1.869
2026-09-01T12:09Z,gA,1.849
2026-09-01T12:09Z,gP,1.928
2026-09-01T12:09Z,g98e5,2.069
2026-09-02T10:01Z,g95e5,1.895
2026-09-02T10:01Z,gP,1.905
2026-09-02T10:01Z,g98e5,2.089
2026-09-03T11:47Z,g95e5,1.909
2026-09-03T11:47Z,gA,1.889
2026-09-03T11:47Z,gP,1.939
2026-09-03T11:47Z,g98e5,2.099
2026-09-04T11:48Z,g95e5,1.929
2026-09-04T11:48Z,gA,1.915
2026-09-04T11:48Z,gP,1.975
2026-09-04T11:48Z,g98e5,2.139
2026-09-07T10:50Z,g95e5,1.935
2026-09-07T10:50Z,gA,1.919
2026-09-09T10:12Z,g95e5,1.945
2026-09-09T10:12Z,gA,1.909
2026-09-09T10:12Z,gP,1.959
2026-09-09T10:12Z,g98e5,2.149
2026-09-10T11:54Z,g95e5,1.955
2026-09-10T11:54Z,gA,1.915
2026-09-10T11:54Z,gP,1.965
2026-09-10T11:54Z,g98e5,2.169
2026-09-11T11:53Z,g95e5,1.969
2026-09-11T11:53Z,gA,1.935
2026-09-11T11:53Z,gP,1.995
2026-09-14T14:29Z,g95e5,2.005
2026-09-14T14:29Z,gA,2.005
2026-09-14T14:29Z,gP,2.055
2026-09-14T14:29Z,g98e5,2.189
2026-09-15T12:17Z,g95e5,2.015
2026-09-15T12:17Z,gA,2.009
2026-09-15T12:17Z,gP,2.059
2026-09-15T12:17Z,g98e5,2.209
2026-09-17T12:49Z,g95e5,2.050
2026-09-17T12:49Z,gA,2.019
2026-09-17T12:49Z,gP,2.089
2026-09-17T12:49Z,g98e5,2.240
2026-09-18T11:55Z,g95e5,1.999
2026-09-18T11:55Z,gA,1.999
2026-09-18T11:55Z,gP,2.000
2026-09-18T11:55Z,g98e5,2.169
2026-09-21T14:36Z,gA,1.989
2026-09-21T14:36Z,gP,2.029
2026-09-22T12:10Z,gA,1.960
2026-09-23T13:04Z,g95e5,1.969
2026-09-23T13:04Z,gP,2.019
2026-09-23T13:04Z,g98e5,2.139
2026-09-24T10:36Z,g95e5,1.979
2026-09-24T10:36Z,g98e5,2.159
