ts,combustible,precio
2026-08-17T13:30Z,g95e5,1.799
2026-08-17T13:30Z,gA,1.959
2026-08-17T13:30Z,gP,2.039
2026-08-17T13:30Z,g98e5,1.939
2026-08-18T13:34Z,gA,1.969
2026-08-18T13:34Z,gP,2.049
2026-08-19T13:35Z,g95e5,1.794
2026-08-19T13:35Z,g98e5,1.934
2026-08-20T13:37Z,gA,1.979
2026-08-20T13:37Z,gP,2.059
2026-08-24T13:57Z,g95e5,1.789
2026-08-24T13:57Z,gA,1.989
2026-08-24T13:57Z,gP,2.069
2026-08-24T13:57Z,g98e5,1.929
2026-08-26T13:43Z,g95e5,1.779
2026-08-26T13:43Z,g98e5,1.919
2026-08-28T19:40Z,g95e5,1.784
2026-08-28T19:40Z,g98e5,1.924
2026-09-01T01:28Z,g95e5,1.844
2026-09-01T01:28Z,gA,1.868
2026-09-01T01:28Z,gP,1.948
2026-09-01T01:28Z,g98e5,1.984
