ts,combustible,precio
2026-08-17T20:12Z,g95e5,1.649
2026-08-17T20:12Z,gA,1.739
2026-08-18T12:18Z,g95e5,1.629
2026-08-18T12:18Z,gA,1.719
2026-08-18T13:34Z,g95e5,1.649
2026-08-18T13:34Z,gA,1.739
2026-08-18T16:16Z,g95e5,1.629
2026-08-18T16:16Z,gA,1.719
2026-08-18T20:10Z,g95e5,1.649
2026-08-18T20:10Z,gA,1.739
2026-08-19T08:21Z,g95e5,1.639
2026-08-19T08:21Z,gA,1.749
2026-08-19T17:15Z,g95e5,1.629
2026-08-19T17:15Z,gA,1.719
2026-08-23T21:10Z,g95e5,1.649
2026-08-23T21:10Z,gA,1.739
2026-08-26T09:28Z,g95e5,1.659
2026-08-26T09:28Z,gA,1.769
2026-08-26T16:08Z,g95e5,1.649
2026-08-26T16:08Z,gA,1.739
2026-09-01T01:28Z,g95e5,1.709
2026-09-01T01:28Z,gA,1.689
2026-09-01T12:09Z,gA,1.617
2026-09-02T21:23Z,gA,1.667
2026-09-03T21:29Z,g95e5,1.759
2026-09-03T21:29Z,gA,1.717
2026-09-04T15:14Z,g95e5,1.709
2026-09-04T15:14Z,gA,1.667
2026-09-08T22:05Z,g95e5,1.729
2026-09-08T22:05Z,gA,1.687
2026-09-10T21:15Z,g95e5,1.759
2026-09-10T21:15Z,gA,1.717
2026-09-14T14:29Z,g95e5,1.769
2026-09-14T14:29Z,gA,1.737
2026-09-14T19:39Z,g95e5,1.779
2026-09-14T19:39Z,gA,1.747
2026-09-14T22:48Z,g95e5,1.809
2026-09-14T22:48Z,gA,1.777
2026-09-15T12:17Z,g95e5,1.799
2026-09-15T12:17Z,gA,1.767
2026-09-15T20:31Z,g95e5,1.829
2026-09-15T20:31Z,gA,1.797
2026-09-16T23:19Z,g95e5,1.859
2026-09-16T23:19Z,gA,1.827
2026-09-17T17:20Z,g95e5,1.829
2026-09-17T17:20Z,gA,1.797
