ts,combustible,precio
2026-08-17T20:12Z,g95e5,1.647
2026-08-17T20:12Z,gA,1.749
2026-08-18T10:15Z,g95e5,1.627
2026-08-18T10:15Z,gA,1.729
2026-08-18T20:10Z,g95e5,1.647
2026-08-18T20:10Z,gA,1.749
2026-08-19T08:21Z,g95e5,1.637
2026-08-19T08:21Z,gA,1.759
2026-08-19T09:20Z,gA,1.749
2026-08-19T10:16Z,gA,1.759
2026-08-19T11:13Z,g95e5,1.627
2026-08-19T11:13Z,gA,1.729
2026-08-19T13:35Z,g95e5,1.637
2026-08-19T13:35Z,gA,1.749
2026-08-19T17:15Z,g95e5,1.627
2026-08-19T17:15Z,gA,1.729
2026-08-23T21:10Z,g95e5,1.647
2026-08-23T21:10Z,gA,1.749
2026-08-24T16:21Z,g95e5,1.629
2026-08-26T08:27Z,g95e5,1.659
2026-08-26T08:27Z,gA,1.779
2026-08-26T10:22Z,g95e5,1.639
2026-08-26T13:43Z,g95e5,1.627
2026-08-26T13:43Z,gA,1.749
2026-09-01T01:28Z,g95e5,1.687
2026-09-01T01:28Z,gA,1.699
2026-09-01T12:09Z,gA,1.627
2026-09-01T17:01Z,gA,1.647
2026-09-02T18:10Z,gA,1.627
2026-09-02T21:23Z,gA,1.677
