ts,combustible,precio
2026-08-17T22:11Z,gA,1.549
2026-08-19T22:12Z,gA,1.559
2026-08-24T22:13Z,gA,1.549
2026-08-25T22:13Z,gA,1.559
2026-08-29T02:30Z,g95e5,1.439
2026-08-29T02:30Z,g98e5,1.559
2026-09-01T22:52Z,g95e5,1.449
2026-09-01T22:52Z,gA,1.569
2026-09-01T22:52Z,g98e5,1.569
2026-09-02T23:38Z,gA,1.579
2026-09-08T22:05Z,g95e5,1.479
2026-09-08T22:05Z,gA,1.569
2026-09-08T22:05Z,g98e5,1.599
2026-09-09T23:35Z,g95e5,1.469
2026-09-09T23:35Z,g98e5,1.589
2026-09-10T23:29Z,g95e5,1.449
2026-09-10T23:29Z,g98e5,1.569
2026-09-11T23:36Z,g95e5,1.479
2026-09-11T23:36Z,gA,1.599
2026-09-11T23:36Z,g98e5,1.599
2026-09-12T23:29Z,gA,1.629
2026-09-14T22:48Z,gA,1.649
2026-09-15T23:14Z,g95e5,1.489
2026-09-15T23:14Z,gA,1.659
2026-09-15T23:14Z,g98e5,1.609
2026-09-16T23:19Z,g95e5,1.499
2026-09-16T23:19Z,g98e5,1.619
2026-09-17T23:10Z,g95e5,1.519
2026-09-17T23:10Z,gA,1.679
2026-09-17T23:10Z,g98e5,1.639
2026-09-18T23:41Z,g95e5,1.509
2026-09-18T23:41Z,g98e5,1.629
2026-09-24T00:03Z,g95e5,1.499
2026-09-24T00:03Z,gA,1.659
2026-09-24T00:03Z,g98e5,1.619
2026-09-25T22:52Z,g95e5,1.519
2026-09-25T22:52Z,g98e5,1.639
