ts,combustible,precio
2026-08-19T22:12Z,g95e5,1.699
2026-08-19T22:12Z,gA,1.819
2026-08-19T22:12Z,gP,1.849
2026-08-20T13:37Z,g95e5,1.619
2026-08-20T13:37Z,gA,1.749
2026-08-20T13:37Z,gP,1.779
2026-08-23T18:10Z,g95e5,1.614
2026-08-31T22:05Z,g95e5,1.749
2026-09-03T15:19Z,g95e5,1.729
2026-09-03T15:19Z,gA,1.699
2026-09-03T15:19Z,gP,1.729
2026-09-04T15:14Z,g95e5,1.749
2026-09-04T15:14Z,gA,1.749
2026-09-04T15:14Z,gP,1.779
2026-09-07T16:08Z,g95e5,1.789
2026-09-11T15:20Z,g95e5,1.889
2026-09-11T15:20Z,gA,1.849
2026-09-11T15:20Z,gP,1.879
2026-09-14T14:29Z,g95e5,1.839
2026-09-14T14:29Z,gA,1.799
2026-09-14T14:29Z,gP,1.829
2026-09-17T17:20Z,gA,1.859
2026-09-17T17:20Z,gP,1.889
2026-09-18T15:17Z,gA,1.829
2026-09-18T15:17Z,gP,1.859
2026-09-22T17:24Z,g95e5,1.849
2026-09-22T17:24Z,gA,1.819
2026-09-22T17:24Z,gP,1.849
