ts,combustible,precio
2026-08-17T07:41Z,gA,1.909
2026-08-17T09:27Z,g95e5,1.765
2026-08-17T10:19Z,gA,1.899
2026-08-17T13:30Z,g95e5,1.755
2026-08-17T22:11Z,g95e5,1.765
2026-08-17T22:11Z,gA,1.915
2026-08-17T22:11Z,g98e5,1.935
2026-08-18T08:20Z,g95e5,1.775
2026-08-18T08:20Z,gA,1.925
2026-08-18T11:14Z,g95e5,1.765
2026-08-18T11:14Z,gA,1.915
2026-08-18T22:09Z,gA,1.919
2026-08-19T08:21Z,g95e5,1.775
2026-08-19T08:21Z,gA,1.929
2026-08-19T12:18Z,g95e5,1.765
2026-08-19T12:18Z,gA,1.919
2026-08-19T22:12Z,g95e5,1.775
2026-08-19T22:12Z,gA,1.939
2026-08-19T22:12Z,g98e5,1.945
2026-08-20T07:31Z,gA,1.949
2026-08-20T09:21Z,g95e5,1.785
2026-08-20T10:17Z,gA,1.939
2026-08-20T12:21Z,g95e5,1.775
2026-08-20T14:23Z,gA,1.949
