ts,combustible,precio
2026-08-17T23:11Z,gA,1.905
2026-08-17T23:11Z,gP,2.015
2026-08-17T23:11Z,gB,1.609
2026-08-21T23:11Z,g95e5,1.739
2026-08-21T23:11Z,gA,1.925
2026-08-21T23:11Z,gP,2.035
2026-08-21T23:11Z,gB,1.635
2026-08-25T00:30Z,g95e5,1.755
2026-08-25T00:30Z,gA,1.929
2026-08-25T00:30Z,gP,2.039
2026-08-25T00:30Z,gB,1.640
2026-08-25T23:15Z,g95e5,1.765
2026-09-01T12:09Z,g95e5,1.806
2026-09-01T12:09Z,gA,1.778
2026-09-01T12:09Z,gP,1.888
2026-09-01T12:09Z,gB,1.615
2026-09-02T23:38Z,g95e5,1.839
2026-09-02T23:38Z,gA,1.815
2026-09-02T23:38Z,gP,1.915
2026-09-02T23:38Z,gB,1.655
2026-09-04T23:28Z,g95e5,1.869
2026-09-04T23:28Z,gA,1.849
2026-09-04T23:28Z,gP,1.949
2026-09-04T23:28Z,gB,1.705
