ts,combustible,precio
2026-08-17T22:11Z,g95e5,1.699
2026-08-17T22:11Z,gA,1.799
2026-08-17T22:11Z,gP,1.819
2026-08-19T00:28Z,g95e5,1.709
2026-08-19T00:28Z,gA,1.829
2026-08-19T00:28Z,gP,1.839
2026-08-19T07:28Z,g95e5,1.699
2026-08-19T07:28Z,gA,1.799
2026-08-19T07:28Z,gP,1.819
2026-08-19T10:16Z,g95e5,1.709
2026-08-19T10:16Z,gA,1.829
2026-08-19T10:16Z,gP,1.849
2026-08-19T13:35Z,g95e5,1.699
2026-08-19T13:35Z,gA,1.799
2026-08-19T13:35Z,gP,1.819
2026-08-19T15:19Z,g95e5,1.709
2026-08-19T15:19Z,gA,1.829
2026-08-19T15:19Z,gP,1.849
2026-08-20T12:21Z,g95e5,1.699
2026-08-20T12:21Z,gA,1.799
2026-08-20T12:21Z,gP,1.819
2026-08-21T13:36Z,g95e5,1.679
2026-08-23T23:09Z,g95e5,1.699
2026-08-23T23:09Z,gA,1.819
2026-08-23T23:09Z,gP,1.839
