ts,combustible,precio
2026-08-17T22:11Z,g95e5,1.639
2026-08-17T22:11Z,gA,1.739
2026-08-17T22:11Z,gP,1.759
2026-08-17T22:11Z,g95e5p,1.659
2026-08-18T13:34Z,g95e5,1.619
2026-08-18T13:34Z,gA,1.719
2026-08-18T13:34Z,gP,1.739
2026-08-18T13:34Z,g95e5p,1.639
2026-08-18T17:16Z,g95e5,1.639
2026-08-18T17:16Z,gA,1.749
2026-08-18T17:16Z,gP,1.769
2026-08-18T17:16Z,g95e5p,1.659
2026-08-18T22:09Z,g95e5,1.659
2026-08-18T22:09Z,gA,1.769
2026-08-18T22:09Z,gP,1.789
2026-08-18T22:09Z,g95e5p,1.679
2026-08-19T00:28Z,g95e5,1.669
2026-08-19T00:28Z,gA,1.799
2026-08-19T00:28Z,gP,1.809
2026-08-19T07:28Z,g95e5,1.659
2026-08-19T07:28Z,gA,1.769
2026-08-19T07:28Z,gP,1.789
2026-08-19T10:16Z,g95e5,1.689
2026-08-19T10:16Z,gA,1.819
2026-08-19T10:16Z,gP,1.839
2026-08-19T10:16Z,g95e5p,1.709
2026-08-19T15:19Z,g95e5,1.649
2026-08-19T15:19Z,gA,1.769
2026-08-19T15:19Z,gP,1.789
2026-08-19T15:19Z,g95e5p,1.669
2026-08-21T20:11Z,g95e5,1.639
2026-08-21T20:11Z,g95e5p,1.659
2026-08-22T12:13Z,g95e5,1.659
2026-08-22T12:13Z,g95e5p,1.679
2026-08-23T23:09Z,g95e5,1.679
2026-08-23T23:09Z,gA,1.789
2026-08-23T23:09Z,gP,1.809
2026-08-23T23:09Z,g95e5p,1.699
2026-08-24T14:30Z,g95e5,1.669
2026-08-24T14:30Z,gA,1.779
2026-08-24T14:30Z,gP,1.799
2026-08-24T14:30Z,g95e5p,1.689
2026-08-25T11:15Z,g95e5,1.679
2026-08-25T11:15Z,g95e5p,1.699
2026-08-25T12:21Z,g95e5,1.669
2026-08-25T12:21Z,gA,1.769
2026-08-25T12:21Z,gP,1.789
2026-08-25T12:21Z,g95e5p,1.689
