ts,combustible,precio
2026-08-17T22:11Z,gA,1.935
2026-08-17T22:11Z,gP,1.995
2026-08-17T22:11Z,g98e5,1.885
2026-08-18T22:09Z,g95e5,1.759
2026-08-18T22:09Z,gA,1.919
2026-08-18T22:09Z,gP,1.919
2026-08-18T22:09Z,g98e5,1.889
2026-08-19T22:12Z,gA,1.939
2026-08-19T22:12Z,gP,1.999
2026-08-21T07:33Z,g95e5,1.749
2026-08-21T07:33Z,gA,1.959
2026-08-21T07:33Z,gP,2.019
2026-08-21T07:33Z,g98e5,1.879
2026-08-21T22:10Z,g95e5,1.769
2026-08-21T22:10Z,gA,1.955
2026-08-21T22:10Z,gP,2.015
2026-08-21T22:10Z,g98e5,1.899
2026-08-24T22:13Z,g95e5,1.775
2026-08-24T22:13Z,g98e5,1.915
2026-08-25T22:13Z,g95e5,1.779
2026-08-25T22:13Z,g98e5,1.919
2026-08-27T02:19Z,gA,1.959
2026-08-27T02:19Z,gP,2.019
2026-08-27T23:17Z,gA,1.955
2026-08-27T23:17Z,gP,2.015
2026-08-28T19:40Z,gA,1.949
2026-08-28T19:40Z,gP,2.009
2026-08-31T22:05Z,g95e5,1.781
2026-08-31T22:05Z,gA,1.828
2026-08-31T22:05Z,gP,1.888
2026-08-31T22:05Z,g98e5,1.929
2026-09-01T22:52Z,g95e5,1.819
2026-09-01T22:52Z,gA,1.845
2026-09-01T22:52Z,gP,1.895
2026-09-01T22:52Z,g98e5,1.939
2026-09-02T23:38Z,g95e5,1.849
2026-09-02T23:38Z,gA,1.839
2026-09-02T23:38Z,gP,1.889
2026-09-02T23:38Z,g98e5,1.969
2026-09-03T23:36Z,g95e5,1.869
2026-09-03T23:36Z,gA,1.865
2026-09-03T23:36Z,gP,1.915
2026-09-03T23:36Z,g98e5,1.989
