ts,combustible,precio
2026-08-17T22:11Z,g95e5,1.739
2026-08-17T22:11Z,gA,1.839
2026-08-17T22:11Z,gP,1.859
2026-08-18T13:34Z,g95e5,1.715
2026-08-18T16:16Z,g95e5,1.705
2026-08-18T16:16Z,gA,1.825
2026-08-18T16:16Z,gP,1.845
2026-08-19T00:28Z,g95e5,1.715
2026-08-19T00:28Z,gA,1.855
2026-08-19T00:28Z,gP,1.865
2026-08-19T07:28Z,g95e5,1.705
2026-08-19T07:28Z,gA,1.825
2026-08-19T07:28Z,gP,1.845
2026-08-19T10:16Z,g95e5,1.715
2026-08-19T10:16Z,gA,1.845
2026-08-19T10:16Z,gP,1.865
2026-08-21T14:22Z,g95e5,1.699
2026-08-21T14:22Z,gA,1.799
2026-08-21T14:22Z,gP,1.819
2026-08-25T14:32Z,g95e5,1.669
2026-08-26T00:31Z,g95e5,1.679
2026-08-26T00:31Z,gA,1.829
2026-08-26T00:31Z,gP,1.839
2026-08-26T09:28Z,g95e5,1.669
2026-08-26T09:28Z,gA,1.799
2026-08-26T09:28Z,gP,1.819
2026-08-26T10:22Z,g95e5,1.679
2026-08-26T10:22Z,gA,1.829
2026-08-26T10:22Z,gP,1.849
2026-08-26T12:23Z,g95e5,1.669
2026-08-26T12:23Z,gA,1.799
2026-08-26T12:23Z,gP,1.819
2026-08-29T09:27Z,g95e5,1.659
2026-08-29T09:27Z,gA,1.789
2026-08-29T09:27Z,gP,1.809
2026-08-31T17:43Z,gA,1.769
2026-08-31T17:43Z,gP,1.789
2026-09-01T01:28Z,g95e5,1.719
2026-09-01T01:28Z,gA,1.648
2026-09-01T01:28Z,gP,1.658
2026-09-01T12:09Z,gA,1.668
2026-09-01T12:09Z,gP,1.678
2026-09-01T17:01Z,g95e5,1.659
2026-09-01T17:01Z,gA,1.667
2026-09-01T17:01Z,gP,1.687
