ts,combustible,precio
2026-08-17T08:28Z,g95e5,1.576
2026-08-17T08:28Z,gB,1.392
2026-08-17T13:30Z,gA,1.733
2026-08-21T08:23Z,g95e5,1.579
2026-08-21T08:23Z,gA,1.770
2026-08-26T11:18Z,gA,1.750
2026-08-27T13:12Z,gA,1.739
2026-08-29T14:44Z,gA,1.729
2026-09-02T10:01Z,g95e5,1.700
2026-09-02T10:01Z,gA,1.680
2026-09-02T10:01Z,gB,1.398
2026-09-02T14:46Z,g95e5,1.756
2026-09-03T11:47Z,gA,1.650
2026-09-04T11:48Z,g95e5,1.734
2026-09-04T11:48Z,gA,1.660
2026-09-04T11:48Z,gB,1.383
2026-09-05T10:58Z,g95e5,1.738
2026-09-05T10:58Z,gA,1.680
2026-09-05T10:58Z,gB,1.429
2026-09-07T10:50Z,g95e5,1.742
2026-09-07T10:50Z,gA,1.703
2026-09-07T10:50Z,gB,1.476
2026-09-12T11:19Z,g95e5,1.799
2026-09-12T11:19Z,gA,1.790
2026-09-12T11:19Z,gB,1.510
2026-09-16T12:16Z,gA,1.799
2026-09-16T12:16Z,gB,1.490
2026-09-17T17:20Z,gB,1.536
2026-09-21T14:36Z,g95e5,1.784
2026-09-21T14:36Z,gA,1.822
2026-09-23T13:04Z,gB,1.596
2026-09-25T10:39Z,g95e5,1.795
2026-09-25T10:39Z,gA,1.789
