ts,combustible,precio
2026-08-17T09:27Z,g95e5,1.599
2026-08-17T09:27Z,gA,1.759
2026-08-17T09:27Z,gP,1.789
2026-08-17T09:27Z,g98e5,1.759
2026-08-17T09:27Z,gB,1.450
2026-08-18T10:15Z,g95e5,1.629
2026-08-18T10:15Z,g98e5,1.779
2026-08-21T11:14Z,gA,1.769
2026-08-21T11:14Z,gP,1.799
2026-08-25T09:23Z,gA,1.789
2026-08-25T09:23Z,gP,1.819
2026-08-27T13:12Z,g95e5,1.639
2026-08-27T13:12Z,gA,1.769
2026-08-27T13:12Z,gP,1.799
2026-08-27T13:12Z,g98e5,1.789
2026-09-01T12:09Z,g95e5,1.669
2026-09-01T12:09Z,gA,1.699
2026-09-01T12:09Z,gP,1.729
2026-09-01T12:09Z,g98e5,1.819
2026-09-02T10:01Z,g95e5,1.699
2026-09-02T10:01Z,g98e5,1.849
