ts,combustible,precio
2026-08-17T20:12Z,g95e5,1.605
2026-08-17T20:12Z,gA,1.725
2026-08-18T20:10Z,g95e5,1.625
2026-08-18T20:10Z,gA,1.745
2026-08-19T08:21Z,g95e5,1.635
2026-08-19T08:21Z,gA,1.775
2026-08-23T21:10Z,g95e5,1.655
2026-08-23T21:10Z,gA,1.795
2026-08-25T10:19Z,g95e5,1.639
2026-08-25T20:14Z,g95e5,1.659
2026-08-25T20:14Z,gA,1.815
2026-08-25T21:15Z,g95e5,1.639
2026-08-25T21:15Z,gA,1.795
2026-08-26T08:27Z,g95e5,1.669
2026-08-26T08:27Z,gA,1.825
2026-08-26T09:28Z,g95e5,1.649
2026-08-27T13:12Z,g95e5,1.629
2026-08-27T13:12Z,gA,1.799
