ts,combustible,precio
2026-08-18T22:09Z,gA,1.969
2026-08-18T22:09Z,gP,2.044
2026-08-19T22:12Z,g95e5,1.804
2026-08-19T22:12Z,gA,1.979
2026-08-19T22:12Z,gP,2.054
2026-08-19T22:12Z,g95e5p,1.904
2026-08-27T02:19Z,gP,2.044
2026-08-27T02:19Z,g95e5p,1.889
2026-08-29T02:30Z,gA,1.974
2026-08-29T02:30Z,gP,2.039
2026-08-29T22:51Z,g95e5,1.834
2026-08-29T22:51Z,gA,2.004
2026-08-29T22:51Z,gP,2.069
2026-08-29T22:51Z,g95e5p,1.919
2026-08-30T23:58Z,gA,1.984
2026-08-30T23:58Z,gP,2.049
2026-08-31T22:05Z,g95e5,1.875
2026-08-31T22:05Z,gA,1.843
2026-08-31T22:05Z,gP,1.908
2026-08-31T22:05Z,g95e5p,1.960
2026-09-01T22:52Z,g95e5,1.879
2026-09-01T22:52Z,gA,1.849
2026-09-01T22:52Z,gP,1.909
2026-09-01T22:52Z,g95e5p,1.959
2026-09-02T23:38Z,gA,1.884
2026-09-02T23:38Z,gP,1.944
2026-09-03T23:36Z,g95e5,1.909
2026-09-03T23:36Z,gA,1.924
2026-09-03T23:36Z,gP,1.984
2026-09-03T23:36Z,g95e5p,1.989
2026-09-04T23:28Z,g95e5,1.919
2026-09-04T23:28Z,gA,1.928
2026-09-06T00:18Z,g95e5,1.924
2026-09-06T22:29Z,g95e5,1.929
2026-09-06T22:29Z,gA,1.895
2026-09-06T22:29Z,gP,1.980
2026-09-09T00:46Z,g95e5,1.939
2026-09-09T00:46Z,gA,1.909
2026-09-09T00:46Z,gP,1.994
2026-09-09T00:46Z,g95e5p,1.999
2026-09-10T23:29Z,g95e5,1.954
2026-09-10T23:29Z,gA,1.924
2026-09-10T23:29Z,gP,2.009
2026-09-10T23:29Z,g95e5p,2.014
