ts,combustible,precio
2026-08-18T12:18Z,g95e5,1.775
2026-08-18T12:18Z,gA,1.969
2026-08-19T13:35Z,g95e5,1.779
2026-08-20T12:21Z,g95e5,1.785
2026-08-20T12:21Z,gA,1.999
2026-08-21T12:20Z,g95e5,1.780
2026-08-21T12:20Z,gA,2.005
2026-08-21T12:20Z,gB,1.635
2026-08-25T10:19Z,gA,2.009
2026-08-25T10:19Z,gB,1.659
2026-08-26T13:43Z,glp,1.089
2026-08-27T13:12Z,g95e5,1.785
2026-08-27T13:12Z,gA,1.999
2026-08-28T19:40Z,gA,1.989
2026-08-28T19:40Z,gB,1.649
2026-08-31T17:43Z,g95e5,1.779
2026-08-31T17:43Z,gA,1.959
2026-09-01T17:01Z,g95e5,1.835
2026-09-01T17:01Z,gA,1.838
2026-09-02T14:46Z,g95e5,1.859
2026-09-02T14:46Z,gA,1.855
2026-09-03T18:56Z,g95e5,1.875
2026-09-03T18:56Z,gA,1.899
2026-09-04T15:14Z,g95e5,1.915
2026-09-04T15:14Z,gA,1.915
2026-09-04T15:14Z,gB,1.669
