id,rotulo,direccion,municipio,provincia,lat,lon,horario,venta
7573,REPSOL,"CR C-436 BADAJOZ-VVA. FRESNO, 62,7",Villanueva del Fresno,BADAJOZ,38.383028,-7.154972,L-S: 07:00-21:00; D: 07:00-14:00,P
7574,REPSOL,"CALLE CARRETERA DE MONTEHERMOSO, 1",Coria,CÁCERES,39.986250,-6.530500,S: 08:00-14:30,P
7576,REPSOL,"CR N-630, 664,5",Villafranca de los Barros,BADAJOZ,38.562694,-6.350056,L-D: 24H,P
7577,CEPSA,"CARRETERA CACERES KM. 33,400",Brozas,CÁCERES,39.616694,-6.764028,L-V: 07:00-21:00; S: 08:00-15:00 y 17:00-21:00; D: 09:00-15:00 y 17:00-21:00,P
7578,CEPSA,CARRETERA CIUDAD RODRIGO KM. 19,Torrejoncillo,CÁCERES,39.902528,-6.473056,L-D: 07:00-22:00,P
7579,REPSOL,"AVENIDA COLON, S/N",Montijo,BADAJOZ,38.903083,-6.620167,L-S: 06:00-22:00; D: 07:00-22:00,P
7580,REPSOL,CARRETERA N-430 KM. 138,Navalvillar de Pela,BADAJOZ,39.110361,-5.504611,L-D: 07:00-22:30,P
7581,REPSOL,"URBANIZACIÓN ANTIGUA NACIONAL 432, S/N",Granja de Torrehermosa,BADAJOZ,38.304361,-5.607944,L-S: 07:00-21:00; D: 08:00-14:00,P
7582,REPSOL,"CARRETERA EXT104 KM. 20,2",Campanario,BADAJOZ,38.859861,-5.623583,L: 06:00-22:00,P
7583,REPSOL,CARRETERA MERIDA-MONTIJO K. 11.  100 KM. 11,Garrovilla (La),BADAJOZ,38.919972,-6.482972,L-D: 06:00-23:00,P
7584,REPSOL,AUTOVIA A-5 KM. 325,San Pedro de Mérida,BADAJOZ,38.947556,-6.187528,L-D: 24H,P
7586,REPSOL,"CARRETERA N-5 KM. 290,8",Miajadas,CÁCERES,39.143306,-5.925167,L-D: 24H,P
7587,REPSOL,"AVENIDA MADRID, 50",Trujillo,CÁCERES,39.460472,-5.870806,L-D: 06:00-22:00,P
7588,REPSOL,"CALLE GIL CORDERO, S,N",Cáceres,CÁCERES,39.469417,-6.382444,L-D: 24H,P
7589,REPSOL,"AVENIDA MIAJADAS, S/N",Trujillo,CÁCERES,39.448944,-5.881472,L-S: 08:00-20:00,P
7590,ROCK & OIL,"CR N-432, 3,5",Badajoz,BADAJOZ,38.848639,-6.938556,L-V: 06:00-22:00; S-D: 07:00-23:00,P
7591,REPSOL,AUTOVIA AUTOVIA KM. 174,Peraleda de la Mata,CÁCERES,39.888333,-5.467111,L-D: 24H,P
