id,rotulo,direccion,municipio,provincia,lat,lon,horario,venta
1,EUSKOIL-STAR PETROLEUM,"CTRA.FORAL BI-633 km 32,3",Abadiño,BIZKAIA,43.170556,-2.597556,L: 07:00-22:00,P
2,ONROAD 24,CARRETERA GI-2132 ASTIGARRAGA-OIARTZUN KM. 10,Astigarraga,GIPUZKOA,43.281972,-1.916778,L-V: 06:00-22:00; S: 07:00-22:00; D: 08:00-22:00,P
3,REPSOL,AUTOVIA VITORIA-ATUBE KM. 6,Vitoria-Gasteiz,ARABA/ÁLAVA,42.895667,-2.702278,L-D: 06:00-22:00,P
4,SHELL,CARRETERA N-634 KM. 84,Iurreta,BIZKAIA,43.185778,-2.671556,L-V: 07:00-15:00,P
5,AVIA,"AVENIDA GARAY, 23",Artziniega,ARABA/ÁLAVA,43.123361,-3.122528,L-D: 06:00-22:00,P
6,CEPSA,"PASEO DR. BEGIRISTAIN, 75",Donostia-San Sebastián,GIPUZKOA,43.297083,-1.966250,L-D: 24H,P
7,AVIA,"POLIGONO ZUBIKOETA, 1",Ataun,GIPUZKOA,43.015361,-2.176500,L-D: 06:30-22:00,P
8,AVIA,"CR GI-631  P.K. 12,20 D",Azpeitia,GIPUZKOA,43.189667,-2.258778,L-S: 06:00-22:00; D: 09:00-22:00,P
9,BALLENOIL,"CALLE TORREKUA, 02",Eibar,GIPUZKOA,43.180389,-2.487861,L-D: 24H,P
10,E.S. ZESTOA-AVIA,"CARRETERA GI-631 KM. 5,00",Zestoa,GIPUZKOA,43.241444,-2.259444,L-S: 07:00-21:00; D: 07:00-14:00,P
11,"ANDAMUR ""SAN ROMAN""","POLIGONO OKITURRI, S/N",San Millán/Donemiliaga,ARABA/ÁLAVA,42.863500,-2.320361,L-D: 24H,P
12,SHELL,CARRETERA N-634 KM. 84,Iurreta,BIZKAIA,43.186278,-2.671000,L-D: 24H,P
14,AVIA,"SAN ANDRÉS AUZOA, 7 (BERGARA-VITORIA C-6213 km 80,3)",Arrasate/Mondragón,GIPUZKOA,43.048694,-2.497500,L-D: 05:00-23:00,P
15,AVIA AJARTE,"AVENIDA AIXARTE,",Arrigorriaga,BIZKAIA,43.201194,-2.898583,L-V: 06:00-22:00; S-D: 07:00-22:00,P
16,REPSOL,AUTOVIA N-1 km 358,Arrazua-Ubarrundia,ARABA/ÁLAVA,42.876861,-2.616361,L-D: 06:00-22:00,P
17,AVIA,AVDA.DE NAVARRA 5,Donostia-San Sebastián,GIPUZKOA,43.325889,-1.970639,L-D: 07:00-21:50,P
18,AVIA-KANTOI,"CALLE OTAOLA, 13",Eibar,GIPUZKOA,43.181611,-2.482917,L-V: 06:00-22:00; S-D: 08:00-22:00,P
19,BP IRUN,"AVENIDA NAVARRA, 18",Irun,GIPUZKOA,43.339306,-1.782250,L-D: 06:00-22:00,P
20,AVIA,"BARRIO AKARREGI, 23",Hernani,GIPUZKOA,43.266944,-1.968278,L-V: 06:30-21:30; S-D: 08:00-21:00,P
21,AVIA,CARRETERA GI-120 KM. 65,Lazkao,GIPUZKOA,43.041944,-2.188333,L-D: 24H,P
22,ALIBARRA LOW-COST,"CALLE ALIBARRA, 34",Vitoria-Gasteiz,ARABA/ÁLAVA,42.864944,-2.710500,L-D: 24H,P
23,AVIA-ACITAIN,"CALLE BARRENA, 19",Eibar,GIPUZKOA,43.189972,-2.454556,L-V: 06:00-22:00; S-D: 08:00-22:00,P
24,AVIA,CARRETERA A-2122 KM. 11,Lantarón,ARABA/ÁLAVA,42.755583,-3.045750,L-D: 07:00-21:00,P
25,PETRONOR,"PASEO AINGERU, 8",Eskoriatza,GIPUZKOA,43.013833,-2.534500,L-D: 06:00-22:00,P
26,REPSOL,"CALLE ALTO DE ARMENTIA, 2",Vitoria-Gasteiz,ARABA/ÁLAVA,42.836778,-2.698917,L-V: 06:00-22:00; S-D: 07:00-22:00,P
27,GALP,"AVENIDA HIPODROMO, S/N",Donostia-San Sebastián,GIPUZKOA,43.254250,-2.023000,L-D: 24H,P
28,GALP,"CALLE GABARRARI, 22",Hondarribia,GIPUZKOA,43.356444,-1.794389,L-D: 07:00-23:00,P
29,GALP,"AVENIDA LETXUMBORRO, 81",Irun,GIPUZKOA,43.330917,-1.819028,L-S: 08:00-22:00; D: 10:00-15:00,P
30,PETRO SWAP,"CARRETERA GI-631 KM. 10,6",Azpeitia,GIPUZKOA,43.203861,-2.253778,L: 24H,P
31,PETRO SWAP,"CARRETERA GI-631 KM. 10,5",Azpeitia,GIPUZKOA,43.203750,-2.253472,L-V: 06:00-22:30; S: 06:00-22:00; D: 08:00-22:00,P
32,EROSKI,"AVENIDA ZUMALACARREGUI (C.C. EROSKI), S/N",Llodio,ARABA/ÁLAVA,43.138000,-2.968000,L-S: 07:30-21:30,P
33,EROSKI,"POLIGONO SUI 1, (C.C. EROSKI), 1",Ribera Baja/Erribera Beitia,ARABA/ÁLAVA,42.704639,-2.917639,L-S: 10:00-22:00,P
34,EROSKI,"CALLE ZARAMAGA, 1",Vitoria-Gasteiz,ARABA/ÁLAVA,42.860306,-2.664278,L-D: 24H,P
35,EROSKI,"CALLE GARBERA BIDEA, 2",Donostia-San Sebastián,GIPUZKOA,43.311194,-1.943889,L-D: 24H,P
36,EROSKI,"BARRIO MUSAKOLA, S/N",Arrasate/Mondragón,GIPUZKOA,43.070694,-2.475278,L-V: 07:00-21:30; S-D: 09:00-21:30,P
37,EROSKI,"CALLE TXIKIERDI, 7",Usurbil,GIPUZKOA,43.276889,-2.022194,L-S: 07:00-22:30; D: 10:00-21:00,P
39,CARREFOUR,"POLIGONO INDUSTRIAL 201 BARRIO YURRE, S/N",Olaberria,GIPUZKOA,43.035056,-2.217500,L-S: 07:00-21:00; D: 09:00-15:00,P
40,CARREFOUR,CARRETERA MADRID-IRUN KM. 469,Oiartzun,GIPUZKOA,43.314639,-1.876417,L-S: 07:45-21:30; D: 09:00-15:00,P
41,IBAIA ENERGY,"VIAL CTRA. N102 KM347, N102",Vitoria-Gasteiz,ARABA/ÁLAVA,42.829528,-2.722278,L-D: 24H,P
42,CEPSA,"CARRETERA NACIONAL 1 KM. 341,8",Vitoria-Gasteiz,ARABA/ÁLAVA,42.818944,-2.778694,L-V: 06:00-23:00; S: 06:00-22:00; D: 06:00-23:00,P
43,CEPSA,"N-240-B km 11,8",Arrazua-Ubarrundia,ARABA/ÁLAVA,42.941417,-2.639528,L-D: 09:00-21:00,P
45,MOEVE,"CARRETERA A-624 KM. 37,8",Amurrio,ARABA/ÁLAVA,43.031889,-2.967611,L-D: 06:00-22:00,P
46,REPSOL,"CL CIRCUITO IBILBIDEA, 8 (N-1 km 455)",Lasarte-Oria,GIPUZKOA,43.257333,-2.019028,L-D: 06:30-22:30,P
47,REPSOL,"CL TRIANAS, 17",Vitoria-Gasteiz,ARABA/ÁLAVA,42.838722,-2.664500,L-D: 06:00-22:00,P
48,REPSOL,"CR N-1, 350,5",Vitoria-Gasteiz,ARABA/ÁLAVA,42.877139,-2.712472,L-D: 24H,P
49,REPSOL,"CR N-1, 350,5",Vitoria-Gasteiz,ARABA/ÁLAVA,42.878694,-2.714472,L-D: 24H,P
51,REPSOL,CARRETERA N-124 KM. 35,Labastida,ARABA/ÁLAVA,42.635194,-2.849833,L-V: 07:00-21:45; S-D: 08:00-21:45,P
52,PETRONOR,CARRETERA NACIONAL 1 KM. 437,Tolosa,GIPUZKOA,43.152861,-2.068778,L-D: 06:00-22:00,P
55,REPSOL,"SANTXOLOPETEGI AUZOA, 25",Oñati,GIPUZKOA,43.053583,-2.435417,L-D: 05:00-22:00,P
56,CEPSA,"CALLE VENTA DE LA ESTRELLA, 3",Vitoria-Gasteiz,ARABA/ÁLAVA,42.836833,-2.658222,L-D: 07:00-22:00,P
57,PETRONOR,"CL AVENIDA DE LA ZURRIOLA, 32",Donostia-San Sebastián,GIPUZKOA,43.325194,-1.975111,L-D: 07:00-22:00,P
59,PETRONOR,"CALLE BETOÑO, 1",Vitoria-Gasteiz,ARABA/ÁLAVA,42.859278,-2.661694,L-D: 06:00-22:00,P
60,REPSOL,"CALLE ARANEDER BIDEA, 1",Oiartzun,GIPUZKOA,43.296222,-1.871833,L-D: 06:30-21:30,P
61,REPSOL,"CR N-1, 440,7",Villabona,GIPUZKOA,43.177167,-2.055528,L-D: 06:00-22:00,P
62,REPSOL,"CALLE TERMINAL DE ZAISA-BEHOBIA, S/N (CTRA. NAC.1), 484",Irun,GIPUZKOA,43.341111,-1.754111,L-D: 24H,P
63,REPSOL,"AUTOVIA N-1 KM. 451,000",Lasarte-Oria,GIPUZKOA,43.252778,-2.021972,L-D: 06:00-22:00,P
64,REPSOL,"CR N-1, 423,3",Itsasondo,GIPUZKOA,43.065889,-2.163667,L-D: 06:00-22:00,P
65,PETRONOR,"CALLE ZUBIAURRE ZAHAR, 3",Zarautz,GIPUZKOA,43.283250,-2.158361,L-D: 06:30-22:30,P
66,GALP,CARRETERA ANTIGUA NACIONAL I KM. 375,Salvatierra/Agurain,ARABA/ÁLAVA,42.848944,-2.394583,L-D: 06:00-22:00,P
67,GALP,CARRETERA N 634 KM. 0,Deba,GIPUZKOA,43.293806,-2.341111,L-D: 06:00-22:00,P
68,GALP,CARRETERA N 634 KM. 41,Deba,GIPUZKOA,43.294167,-2.340833,L-V: 08:00-20:00,P
69,GALP,CARRETERA GI-2632 KM. 2,Beasain,GIPUZKOA,43.045861,-2.234583,L-V: 07:00-21:00; S: 07:00-15:00,P
70,AVIA,AP-8 (MRG.IZDO.) km 55,Deba,GIPUZKOA,43.284944,-2.328222,L-D: 24H,P
71,AVIA,AP-8 (MRG.DCHO.) km 55,Deba,GIPUZKOA,43.284528,-2.329861,L-D: 24H,P
72,GALP,"AVENIDA NAVARRA, 81",Errenteria,GIPUZKOA,43.316139,-1.905194,L-D: 07:00-23:00,P
73,GALP,"CARRETERA GI 2638 KM. 3,3",Lezo,GIPUZKOA,43.326944,-1.870444,L-V: 07:00-22:00; S: 08:00-21:00; D: 09:00-16:00,P
74,BP OLABERRIA,CARRETERA N-I MADRID-IRUN KM. 416,Olaberria,GIPUZKOA,43.026472,-2.219917,L-D: 24H,P
76,GALP,"CALLE ELIZ KALE, 0",Zumarraga,GIPUZKOA,43.087111,-2.312889,L-D: 06:00-22:00,P
77,MOEVE,"AUTOPISTA AP-8 (MRG.IZDO.) KM. 27,1",Usurbil,GIPUZKOA,43.284833,-2.029083,L-D: 24H,P
78,MOEVE,"AUTOPISTA AP-8 (MRG.DCHO.) KM. 27,1",Usurbil,GIPUZKOA,43.286611,-2.031889,L-D: 06:00-22:00,P
79,REPSOL,"PASEO DEL DOCTOR BEGUIRISTAIN, 271",Donostia-San Sebastián,GIPUZKOA,43.285972,-1.984056,L-D: 24H,P
80,REPSOL,"CR GI-632, 1",Beasain,GIPUZKOA,43.050028,-2.220417,L-S: 05:30-21:30; D: 07:00-21:30,P
83,REPSOL,CARRETERA A-124 KM. 65,Laguardia,ARABA/ÁLAVA,42.547639,-2.578806,L-V: 07:00-21:45; S-D: 08:00-21:45,P
84,REPSOL,"CL AVENIDA DE TOLOSA, 188",Donostia-San Sebastián,GIPUZKOA,43.299889,-2.002111,L-D: 24H,P
86,PETRONOR,"N-634     (BO. DE AGUINAGA) km 7,6",Usurbil,GIPUZKOA,43.277417,-2.073278,L-D: 06:00-22:00,P
87,REPSOL,"CARRETERA NACIONAL 634 KM. 5,7",Usurbil,GIPUZKOA,43.271361,-2.070472,L-D: 06:00-22:00,P
88,PETRONOR,"CL ARETA, 2",Llodio,ARABA/ÁLAVA,43.148639,-2.951361,L-D: 06:00-22:00,P
89,AVIA,"CALLE IBAI ONDO, 14",Azkoitia,GIPUZKOA,43.176444,-2.312056,L-S: 06:00-22:00; D: 09:00-22:00,P
90,CEPSA,"CALLE BIKUÑA, S/N",Legazpi,GIPUZKOA,43.034694,-2.332194,L-S: 08:00-21:00; D: 08:00-14:30,P
93,REPSOL,"PASEO ERRONDO, 7",Donostia-San Sebastián,GIPUZKOA,43.309028,-1.981472,L-V: 06:00-22:00; S-D: 07:00-22:00,P
96,CEPSA,"CALLE AXULAR IBILTOKIA, S/N",Zumaia,GIPUZKOA,43.294833,-2.258083,L-V: 07:30-20:30; S: 08:00-14:00; D: 09:00-13:00,P
97,PETRONOR,"CL AVDA. DE GUIPUZCOA, 34",Arrasate/Mondragón,GIPUZKOA,43.067028,-2.478333,L-S: 06:00-22:00; D: 08:00-20:00,P
98,EASYGAS,CARRETERA GI-636 KM. 13,Hondarribia,GIPUZKOA,43.347556,-1.808528,L-D: 24H,P
99,EASYGAS,CARRETERA GI-636 KM. 13,Hondarribia,GIPUZKOA,43.347167,-1.806944,L-D: 06:00-22:00,P
100,REPSOL,"CARRETERA N-1 KM. 364,4",Elburgo/Burgelu,ARABA/ÁLAVA,42.878556,-2.518167,L-D: 06:00-22:00,P
101,PETRONOR,"CARRETERA GI-2630 KM. 17,9",Oñati,GIPUZKOA,43.039917,-2.420639,L-D: 06:00-22:00,P
102,BIDASOIL,"CARRETERA N-121 A KM. 76,4",Irun,GIPUZKOA,43.335806,-1.752694,L-V: 06:00-22:00; S-D: 07:00-22:00,P
103,REPSOL,"AVENIDA SAN PEDRO, 3",Donostia-San Sebastián,GIPUZKOA,43.321667,-1.943667,L-D: 06:30-22:30,P
104,PETRONOR,"AU AP-68, 36",Zuia,ARABA/ÁLAVA,42.966111,-2.870083,L-D: 06:00-23:00,P
105,REPSOL,"AU AP-68, 36",Zuia,ARABA/ÁLAVA,42.966472,-2.873583,L-D: 06:00-23:00,P
106,PETRONOR,"AU AP-68, 63  D",Ribera Baja/Erribera Beitia,ARABA/ÁLAVA,42.743111,-2.913306,L-D: 24H,P
107,PETRONOR,"AU AP-68, 63,5",Ribera Baja/Erribera Beitia,ARABA/ÁLAVA,42.741361,-2.913222,L-D: 24H,P
110,MOEVE,"AUTOVIA A-1 KM. 454,600",Donostia-San Sebastián,GIPUZKOA,43.247361,-2.025250,L-D: 24H,P
111,PETRONOR,"CR GI-2132, 0,4",Hernani,GIPUZKOA,43.277667,-2.000944,L-V: 06:00-22:00,P
112,PETRONOR,"CR  GI-2132 P.K. 0,4 M.I.",Hernani,GIPUZKOA,43.278056,-2.001361,L-D: 06:00-22:00,P
114,PETRONOR,CARRETERA CTRA.VITORIA-ESTELLA KM. 38,Campezo/Kanpezu,ARABA/ÁLAVA,42.670222,-2.357278,S: 06:30-22:00,P
115,REPSOL,"CALLE DEBA, 21",Elgoibar,GIPUZKOA,43.219167,-2.408750,L-D: 06:00-22:00,P
116,REPSOL,"CALLE COMETE SAREA, 1",Irun,GIPUZKOA,43.338528,-1.753694,L-D: 24H,P
118,REPSOL,"CALLE GIPUZKOA, 59",Zarautz,GIPUZKOA,43.284944,-2.158833,L-D: 24H,P
120,CEPSA,"N-622 km 20,3",Zuia,ARABA/ÁLAVA,42.961583,-2.827722,L-V: 06:00-22:00; S: 07:00-22:00; D: 08:00-22:00,P
121,REPSOL,CARRETERA NACIONAL 1 KM. 445,Villabona,GIPUZKOA,43.178611,-2.055778,L-D: 24H,P
122,REPSOL,"PASEO ENDARLAZA, S/N",Irun,GIPUZKOA,43.342111,-1.760472,L-D: 24H,P
125,MOEVE,"AVENIDA ELIZATXO (N-I KM 480,5), 64",Irun,GIPUZKOA,43.328889,-1.827139,L-D: 24H,P
126,MOEVE,"AVENIDA ELIZATXO (N-I KM 480,5), 64",Irun,GIPUZKOA,43.329333,-1.827556,L-D: 24H,P
127,REPSOL,"CARRETERA N-1 KM. 469,1",Oiartzun,GIPUZKOA,43.312222,-1.879444,L-V: 06:00-22:00; S: 09:00-21:00,P
128,REPSOL,"CR N-1, 469,1",Oiartzun,GIPUZKOA,43.312139,-1.879528,L-D: 06:00-22:00,P
130,REPSOL,"CALLE AMILLAGA, 17",Bergara,GIPUZKOA,43.125833,-2.423889,L-D: 06:00-22:00,P
133,REPSOL,"CALLE PORTAL DE CASTILLA, 32",Vitoria-Gasteiz,ARABA/ÁLAVA,42.842833,-2.682278,L-D: 06:30-22:30,P
134,REPSOL,"AVENIDA IPARRALDE, 42",Irun,GIPUZKOA,43.347278,-1.787028,L-D: 24H,P
135,REPSOL,"CL AVENIDA DE IPARRALDE , 43",Irun,GIPUZKOA,43.347222,-1.787361,L-D: 06:00-22:00,P
136,PETRONOR,"CL AVENIDA HUETOS, 81",Vitoria-Gasteiz,ARABA/ÁLAVA,42.857472,-2.721583,L-D: 06:00-23:00,P
137,PETRONOR,"CL AVENIDA DE LTXUMBORRO, S.N.",Irun,GIPUZKOA,43.333889,-1.817028,L-D: 06:00-22:00,P
138,REPSOL,"CR N-1, 432,5",Tolosa,GIPUZKOA,43.116917,-2.092500,L-D: 24H,P
139,REPSOL,"CR GI-632  BEASAIN-DURANGO, 1,7",Beasain,GIPUZKOA,43.048222,-2.227278,L-V: 06:00-22:00; S-D: 08:00-21:00,P
140,REPSOL,CARRETERA NACIONAL 1 KM. 425,Legorreta,GIPUZKOA,43.078861,-2.156194,L-D: 24H,P
141,REPSOL,"AV AVENIDA DEL CANTABRICO,8 -(PG PO",Vitoria-Gasteiz,ARABA/ÁLAVA,42.864667,-2.660222,L-D: 06:30-22:30,P
142,REPSOL,"CL PORTAL DE ELORRIAGA,17",Vitoria-Gasteiz,ARABA/ÁLAVA,42.849778,-2.648306,L-S: 06:00-22:00; D: 07:00-22:00,P
143,REPSOL,"CL DE ZARAUTZ , 136",Donostia-San Sebastián,GIPUZKOA,43.301083,-2.002528,L-D: 06:00-22:00,P
144,REPSOL,"CR  N-1 ,P.K. 419",Beasain,GIPUZKOA,43.045278,-2.194806,L-D: 24H,P
145,MOEVE,"AUTOPISTA AP-8 (MRG.IZDO.) KM. 8,3",Oiartzun,GIPUZKOA,43.316611,-1.852222,L-D: 24H,P
146,MOEVE,"AUTOPISTA AP-8 (MRG.DCHO.) KM. 8,3",Oiartzun,GIPUZKOA,43.317611,-1.844528,L-D: 24H,P
147,ALCAMPO IRUN,"PARQUE COMERCIAL TXINGUDI, ZONA ARASO.B. VENTAS, 80",Irun,GIPUZKOA,43.322583,-1.834722,L-D: 06:00-00:00,P
148,E.S. TOCALU,"ACCESO A2622, 0",Ribera Alta,ARABA/ÁLAVA,42.811250,-2.901944,L-D: 07:00-22:00,P
150,AVIA,"CR. BI-100 km 25,7",Bakio,BIZKAIA,43.411583,-2.814667,L-V: 07:00-22:00; S-D: 08:00-22:00,P
151,EROSKI,"AVENIDA IPARRAGUIRRE, 110",Leioa,BIZKAIA,43.317694,-2.973194,L-S: 08:00-22:30; D: 09:00-22:30,P
152,EROSKI,"POLIGONO ZABALANDI AUZOA, 20",Basauri,BIZKAIA,43.227500,-2.875889,L-D: 24H,P
153,EROSKI,"BARRIO PERURI, 38",Leioa,BIZKAIA,43.340389,-2.994389,L-D: 24H,P
154,EROSKI,"BARRIO EL BAULAR, 17",Zalla,BIZKAIA,43.209889,-3.124889,L-S: 07:30-21:30,P
155,EROSKI,"BARRIO MURUETA, S/N",Abadiño,BIZKAIA,43.171889,-2.618111,L-D: 24H,P
156,EROSKI,"CALLE KAREAGA, 40",Barakaldo,BIZKAIA,43.287194,-3.004194,L-D: 24H,P
158,BALLENOIL,"CARRETERA N-634 KM. 76,4",Berriz,BIZKAIA,43.166722,-2.585250,L-D: 24H,P
159,MOEVE,"BARRIO EL BAULAR, 11",Zalla,BIZKAIA,43.212361,-3.126639,L-D: 06:00-22:00,P
160,ALCAMPO,CARRETERA ELORRIO KM. S/N,Durango,BIZKAIA,43.164944,-2.620333,L-S: 06:00-22:00; D: 08:00-22:00,P
161,URKIOIL,BI-623 km 31,Izurtza,BIZKAIA,43.145611,-2.644972,L-D: 06:00-22:00,P
162,AVIA,"POLIGONO GOITONDO, S/N",Mallabia,BIZKAIA,43.193861,-2.519028,L-S: 07:00-22:00; D: 08:00-22:00,P
163,GALP,CARRETERA BILBAO-SANTANDER KM. 120,Barakaldo,BIZKAIA,43.288694,-3.010167,L-D: 06:00-22:00,P
164,BP VALLE DEL TRAPAGA,CARRETERA N-634 KM. S/N,Valle de Trápaga-Trapagaran,BIZKAIA,43.292806,-3.017750,L-D: 06:00-22:00,P
165,CEPSA,"CALLE JUAN DE GARAY, 9",Bilbao,BIZKAIA,43.255917,-2.932972,L-V: 08:30-16:00,P
166,MOEVE,"BARRIO IBARRETA, SN",Basauri,BIZKAIA,43.231333,-2.886417,L-V: 06:00-15:00; S: 06:00-09:00,P
169,REPSOL,CR BI-631 20,Mungia,BIZKAIA,43.370667,-2.805417,L-D: 08:00-22:00,P
170,BP BILBAO - STO DOMINGO MD,CARRETERA BI-631 BILBAO-BERMEO KM. 11,Bilbao,BIZKAIA,43.272250,-2.903778,L-D: 24H,P
172,BP BENGOECHEA,"CR BI-2522, 3,8",Orozko,BIZKAIA,43.120944,-2.912639,L-D: 07:00-23:00,P
173,REPSOL,CARRETERA BI-3737 KM. S/N,Getxo,BIZKAIA,43.360917,-3.005278,L-D: 06:00-22:00,P
174,REPSOL,CARRETERA BI-3737 KM. S/N,Getxo,BIZKAIA,43.361056,-3.006167,L-J: 06:00-00:00; V-S: 06:00-01:00; D: 06:00-00:00,P
175,REPSOL,CARRETERA BI-635 KM. 20,Amorebieta-Etxano,BIZKAIA,43.229250,-2.729444,L-V: 06:30-20:00; S: 08:00-15:00,P
176,REPSOL,CARRETERA BI-635 KM. 20,Amorebieta-Etxano,BIZKAIA,43.229472,-2.729861,L-V: 06:00-20:30; S: 08:00-14:00,P
177,PETRONOR,CARRETERA BI-3704 KM. 57,Loiu,BIZKAIA,43.307861,-2.943556,L-D: 06:00-22:00,P
178,PETRONOR,CARRETERA BI-3704 ASUA-LOIU KM. 57,Erandio,BIZKAIA,43.307528,-2.944833,L-V: 07:00-22:00; S-D: 08:00-22:00,P
180,PETRONOR,"CR BI-631, 32",Bermeo,BIZKAIA,43.419889,-2.736361,L-D: 06:00-22:00,P
181,REPSOL,"CR BI-635, 48,5",Mundaka,BIZKAIA,43.412306,-2.702944,L-D: 06:00-22:00,P
182,PETRONOR,"CL MUNGUIA BI-3121, 24,2",Urduliz,BIZKAIA,43.366194,-2.930028,L-S: 07:00-22:00; D: 08:00-22:00,P
183,REPSOL,"CR N-634, 81,7",Iurreta,BIZKAIA,43.175167,-2.641389,L-D: 06:00-22:00,P
184,CEPSA,"AVENIDA MIRAFLORES, 12",Bilbao,BIZKAIA,43.246694,-2.911389,L-D: 06:00-22:00,P
185,PETRONOR,"CL GRUPO LA PAZ, 1 (BI-3739 km 4,7)",Sestao,BIZKAIA,43.313194,-3.010500,L-D: 07:00-20:30,P
186,PETRONOR,CARRETERA BI-631 KM. 10,Derio,BIZKAIA,43.318583,-2.876444,L-D: 06:00-22:00,P
187,PETRONOR,CARRETERA MUNGIA-PLENTZIA KM. 18,Mungia,BIZKAIA,43.377250,-2.864861,L-V: 06:00-22:00; S-D: 07:00-22:00,P
188,PETRONOR,"CR BI-633 BERRIZ-ONDARROA, 45,9",Markina-Xemein,BIZKAIA,43.259611,-2.523694,L-V: 06:00-22:00; S-D: 07:00-22:00,P
193,REPSOL,"CARRETERA N-634 KM. 99,1",Galdakao,BIZKAIA,43.236056,-2.803833,L-V: 07:00-21:30; S: 08:00-20:00; D: 09:00-15:00,P
195,MOEVE,"PLAZA REGOLLO, S/N",Getxo,BIZKAIA,43.340389,-2.994750,L-D: 00:00-23:59,P
200,PETRONOR,"CL APERRIBAY, 15",Galdakao,BIZKAIA,43.240111,-2.873056,L-V: 06:30-21:30; S-D: 08:00-21:30,P
201,REPSOL,"CARRETERA BI-3745 KM. 9,2",Sestao,BIZKAIA,43.298889,-3.002750,L-D: 06:00-22:00,P
202,REPSOL,"CARRETERA BI-3745 KM. 9,2",Sestao,BIZKAIA,43.298528,-3.003167,L-D: 24H,P
203,PETRONOR,"CR A-8  BILBAO BEHOBIA P.K. 99,7",Amorebieta-Etxano,BIZKAIA,43.231556,-2.756306,L-D: 24H,P
204,PETRONOR,"CR A-8 BILBAO-BEHOBIA ,P.K. 100",Amorebieta-Etxano,BIZKAIA,43.230083,-2.754028,L-D: 24H,P
205,CEPSA,"RAMON Y CAJAL, S/N",Portugalete,BIZKAIA,43.315389,-3.021278,L-D: 07:00-22:00,P
206,REPSOL,CARRETERA BOLUETA-ARRIGORRIAGA KM. 6,Basauri,BIZKAIA,43.226306,-2.889111,L-D: 06:00-22:00,P
207,PETRONOR,AUTOPISTA AP-68 KM. 6,Ugao-Miraballes,BIZKAIA,43.189750,-2.894444,L-D: 24H,P
208,PETRONOR,"AU AP-68, 6",Arrigorriaga,BIZKAIA,43.190194,-2.897389,L-D: 24H,P
209,REPSOL,CARRETERA ASUA-PLENTZIA KM. 23,Plentzia,BIZKAIA,43.390333,-2.943917,L-V: 06:00-22:00; S-D: 07:00-22:00,P
211,REPSOL,"CALLE MUNOA,, SN",Barakaldo,BIZKAIA,43.280083,-2.978861,L-D: 06:00-22:00,P
214,REPSOL,"AVENIDA IPARRAGUIRRE, 21",Leioa,BIZKAIA,43.320444,-2.976194,L-D: 24H,P
215,REPSOL,"AVENIDA IPARRAGUIRRE, 108",Leioa,BIZKAIA,43.319444,-2.975750,L-D: 24H,P
216,PETRONOR,"CR N-634, 115",Bilbao,BIZKAIA,43.265278,-2.961389,L-V: 06:30-22:30; S-D: 07:30-22:30,P
217,MOEVE,"BARRIO SAN FAUSTO, 2",Elorrio,BIZKAIA,43.130583,-2.548889,L-D: 07:00-21:00,P
219,GALP,CARRETERA BI-PL KM. 20,Sopelana,BIZKAIA,43.382583,-2.987361,L-V: 06:00-22:00; S-D: 07:00-22:00,P
220,GALP,CARRETERA BI-PL KM. 20,Sopelana,BIZKAIA,43.382222,-2.988472,L-V: 06:00-22:00; S-D: 07:00-22:00,P
222,SHELL,"CTRA.LUTXANA-ASÚA, 36 km CENTRO COMERCIAL M",Erandio,BIZKAIA,43.303333,-2.952833,L-S: 07:30-21:30,P
224,PETRONOR,"CL AMBASAGUAS, 7",Karrantza Harana/Valle de Carranza,BIZKAIA,43.238139,-3.355694,L-D: 08:00-21:00,P
227,REPSOL,"CR N-634, 93",Amorebieta-Etxano,BIZKAIA,43.228917,-2.752944,L-V: 06:00-22:00; S-D: 08:00-22:00,P
228,REPSOL,"CR N-634, 127,2",Abanto y Ciérvana-Abanto Zierbena,BIZKAIA,43.321861,-3.068056,L-D: 06:00-22:00,P
229,REPSOL,"AVENIDA ALTO DE ENEKURI, 5",Bilbao,BIZKAIA,43.286667,-2.958444,L-D: 06:00-22:00,P
231,REPSOL,"CL RIBERA DE AXPE, 19",Erandio,BIZKAIA,43.313056,-2.984639,L-V: 06:00-22:00; S-D: 08:00-22:00,P
232,REPSOL,"CARRETERA N634 KM. 106,4","Etxebarri, Anteiglesia de San Esteban-Etxebarri Doneztebeko",BIZKAIA,43.250806,-2.888444,L-V: 06:00-21:00; S: 07:00-21:00,P
233,REPSOL,"CARRETERA N634 KM. 106,4","Etxebarri, Anteiglesia de San Esteban-Etxebarri Doneztebeko",BIZKAIA,43.250667,-2.889028,L-V: 05:00-22:45; S: 06:00-22:45; D: 06:00-22:00,P
234,REPSOL,"CL BARRIO MERCADILLO, S.N. (BI-2701 km 0,9)",Sopuerta,BIZKAIA,43.267000,-3.152944,L-D: 07:00-22:00,P
237,PETRONOR,"CARRETERA BI-636 KM. 15,5",Güeñes,BIZKAIA,43.204333,-3.047306,L-D: 06:00-22:00,P
238,PETRONOR,"CARRETERA Bº ATXONDOA KM. 51,8",Markina-Xemein,BIZKAIA,43.280111,-2.495722,L-D: 06:00-22:00,P
239,PETRONOR,"CARRETERA BI-3704 KM. 5,5",Erandio,BIZKAIA,43.291000,-2.959889,L-V: 06:00-22:00; S-D: 08:00-22:00,P
